id,area,gender,age,lots_of_jobs,high_PoL,good_city_culture,places_for_visitors,quality_education,public_crisis_support,good_for_kids,places_for_disadvantaged,quality_of_healthcare,safe_at_night,safe_from_accidents,safe_drinking_public_water,air_pollution_problem,good_public_transport,nice_close_places,close_groceries,easy_city_info,gov_address_citizen_issues,admin_transparent,friends_come_over_lots,lots_volunteer_activities,health_score,city_pride,happy_score,education,household_income,occupation,marital_status,religion
3858,NYC,female,30,NA,2,2,2,2,2,2,NA,2,2,4,2,2,1,1,1,1,1,1,1,NA,2,NA,2,4,2,2,1,1
3865,NYC,male,29,4,4,2,3,1,2,4,2,1,3,4,2,5,1,3,2,3,4,2,3,3,2,1,2,5,3,10,3,1
3866,NYC,female,19,2,1,2,1,4,3,3,2,3,3,1,2,1,2,1,1,1,3,2,3,1,2,1,2,6,4,8,1,3
3869,NYC,male,39,2,1,2,2,3,2,2,2,2,1,1,1,2,2,2,2,1,3,2,2,2,2,3,2,6,3,7,2,NA
3874,NYC,female,31,3,1,1,1,4,3,2,1,4,2,3,5,1,1,1,1,3,3,4,3,1,1,1,1,7,4,7,2,8
3880,NYC,male,74,4,1,3,1,5,5,1,5,5,4,NA,2,1,1,3,1,1,4,5,5,2,4,1,2,7,3,10,3,8
3914,NYC,female,51,3,1,1,1,4,NA,3,5,5,3,5,3,3,2,1,1,1,1,3,3,5,1,1,2,7,3,3,3,1
3950,NYC,female,57,3,1,1,1,3,4,2,4,2,2,3,2,2,1,1,1,1,3,3,2,2,1,1,1,7,5,6,2,3
3963,NYC,male,60,3,1,1,1,2,3,2,3,3,3,3,1,2,1,2,1,1,3,2,2,2,1,2,1,7,3,2,2,2
3967,NYC,female,90,1,1,1,1,2,1,1,1,2,NA,1,1,3,NA,4,1,NA,1,2,5,2,3,1,2,7,4,10,2,8
3973,NYC,male,78,3,1,1,1,4,2,1,2,4,2,2,1,5,1,4,1,NA,2,2,4,1,2,1,1,7,4,6,1,2
3982,NYC,female,45,4,1,1,2,5,5,3,4,4,5,3,3,2,2,2,1,1,4,5,3,4,1,2,1,7,4,6,4,7
3985,NYC,female,59,2,1,1,1,5,1,4,3,2,4,2,5,1,2,2,1,1,1,NA,5,1,1,1,1,4,3,7,2,3
4033,NYC,female,59,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,NA,5,5,5,5,3,3,3,4,1,3,2,3
4039,NYC,male,51,1,2,1,1,3,2,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,3,2,2,5,3,2,1,1
4050,NYC,male,43,1,4,NA,1,2,2,1,2,NA,4,4,4,4,4,4,4,2,NA,2,4,2,2,1,2,4,2,3,2,8
4064,NYC,female,67,4,2,2,2,NA,2,NA,2,4,NA,NA,2,4,2,2,2,4,2,4,4,2,1,1,1,4,2,5,3,1
4066,NYC,female,29,NA,1,1,1,NA,NA,NA,NA,4,3,2,2,5,5,5,5,1,NA,NA,5,NA,1,1,1,7,3,2,1,8
4068,NYC,female,99,2,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,7,4,3,2,8
4070,NYC,female,31,3,1,2,1,4,2,2,2,2,4,4,2,1,2,2,2,1,2,3,1,1,3,1,2,7,3,2,2,NA
4072,NYC,female,35,2,1,1,1,4,4,3,3,3,2,2,2,3,3,3,1,1,3,3,2,1,1,1,2,7,3,5,1,7
4074,NYC,female,23,2,1,1,1,3,4,2,3,2,3,3,1,1,2,2,3,3,2,3,4,1,1,1,2,7,3,10,2,2
4081,NYC,male,72,3,1,2,1,5,3,3,3,2,2,2,2,5,5,1,1,2,1,3,1,1,1,1,1,7,2,10,3,1
4085,NYC,female,99,3,1,3,2,2,5,3,3,3,5,3,3,1,2,2,2,1,3,3,3,1,3,3,2,7,3,5,2,8
4107,NYC,female,33,3,2,2,1,4,3,3,4,3,3,2,3,3,2,2,2,1,3,2,3,2,NA,1,2,7,3,NA,2,NA
4110,NYC,female,54,2,1,2,3,3,4,3,4,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,1,7,4,6,2,1
4111,NYC,female,51,2,1,2,1,4,3,1,4,3,3,3,2,3,2,2,1,3,1,2,2,1,1,1,2,7,4,8,2,8
4115,NYC,male,74,NA,1,1,1,3,NA,1,1,2,1,1,1,5,1,1,1,1,1,1,4,1,1,1,1,7,3,10,4,8
4136,NYC,male,41,3,1,1,1,4,1,3,4,4,3,4,3,1,3,2,1,2,2,2,1,1,2,1,1,7,NA,2,2,3
4140,NYC,female,35,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,NA,NA,6,NA,NA
4144,NYC,male,28,3,5,5,5,4,3,4,3,2,2,4,5,4,5,5,5,5,4,5,5,4,1,5,3,NA,NA,NA,2,NA
4153,NYC,male,37,3,1,2,1,3,5,1,3,3,1,3,1,3,1,2,1,2,3,2,2,1,2,1,2,6,5,6,2,NA
4154,NYC,female,73,4,1,1,1,3,3,3,1,5,5,3,5,5,5,2,2,1,2,NA,1,2,3,1,2,7,3,2,2,3
4161,NYC,female,69,2,1,1,1,2,3,2,1,1,1,2,3,3,1,3,1,1,3,3,2,2,1,1,1,7,5,6,2,3
4183,NYC,female,37,3,1,1,1,5,5,4,4,2,2,3,3,4,1,2,1,3,3,3,3,1,1,1,1,7,3,6,2,1
4204,NYC,female,50,3,1,1,1,4,5,NA,4,4,2,3,2,3,3,2,2,5,3,5,3,4,1,1,1,7,3,6,2,8
4207,NYC,male,23,3,1,4,1,3,2,2,2,3,2,1,1,3,1,1,1,1,2,3,3,1,2,1,1,7,4,6,2,8
4234,NYC,male,52,2,1,2,2,2,3,2,2,2,1,2,2,2,2,1,1,2,2,2,3,3,2,2,2,4,3,6,2,8
4239,NYC,female,49,4,5,2,2,4,3,4,4,4,3,3,4,5,2,2,2,2,3,3,3,2,2,2,2,7,3,6,1,1
4259,NYC,female,38,2,1,1,1,1,2,1,3,1,1,2,2,1,1,3,1,1,1,2,1,1,1,1,1,7,4,6,2,3
4262,NYC,female,30,3,1,3,1,3,2,3,3,3,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,7,3,11,1,3
4265,NYC,female,42,4,1,1,1,3,3,3,3,4,3,3,3,4,1,2,3,1,5,4,4,3,1,2,2,4,3,6,3,3
4273,NYC,female,50,2,1,1,1,2,3,3,3,3,2,3,2,3,1,1,1,1,2,2,2,1,1,1,1,7,3,6,1,1
4280,NYC,female,50,4,1,2,1,3,4,4,3,2,3,2,1,3,2,2,1,1,NA,NA,3,2,3,1,2,4,3,6,1,3
4285,NYC,male,50,2,1,1,1,5,3,3,3,3,1,2,1,1,4,1,1,1,4,4,2,1,2,1,2,7,3,11,5,2
4288,NYC,male,47,4,1,3,1,3,1,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,7,4,3,1,1
4295,NYC,male,60,5,1,4,2,3,NA,NA,4,3,4,4,4,3,2,4,4,NA,4,3,4,NA,3,3,3,NA,3,NA,NA,NA
4303,NYC,female,51,4,1,2,1,4,5,4,4,2,2,2,2,5,1,2,1,1,2,3,2,1,1,1,2,7,4,7,2,3
4310,NYC,male,29,1,1,1,1,3,4,4,3,2,1,2,1,2,1,2,1,1,2,3,2,1,2,1,1,7,5,6,2,3
4322,NYC,female,92,3,4,NA,2,3,NA,2,NA,2,1,1,1,4,1,1,1,NA,NA,NA,2,NA,3,1,2,5,3,6,1,3
4324,NYC,male,68,NA,1,1,1,3,3,3,2,4,2,2,5,1,1,1,1,NA,1,1,3,1,1,1,1,7,4,2,3,8
4328,NYC,female,20,1,1,1,1,1,4,4,2,2,2,2,1,4,1,1,1,1,2,2,2,2,1,1,2,4,4,8,1,1
4338,NYC,female,24,3,1,2,1,5,5,1,4,5,2,3,1,4,1,1,1,1,3,5,3,1,2,1,2,7,4,6,3,7
4349,NYC,female,44,5,1,2,1,5,3,2,2,3,1,2,1,1,1,1,1,1,3,2,4,1,2,1,1,7,3,6,3,5
4369,NYC,female,99,3,1,1,1,5,3,3,1,3,1,1,5,5,1,1,1,NA,3,3,5,1,2,2,2,6,3,5,4,8
4371,NYC,male,32,1,1,1,1,3,5,5,3,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,2,7,4,6,2,3
4381,NYC,female,67,4,2,2,2,4,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,4,NA,10,4,3
4384,NYC,female,45,4,1,1,1,4,4,2,3,4,4,4,2,2,2,2,2,2,3,3,2,2,2,1,1,7,3,5,3,3
4387,NYC,male,29,3,1,1,1,3,3,3,3,3,2,2,2,2,1,2,1,1,2,2,5,2,2,1,2,7,3,6,2,NA
4389,NYC,female,30,2,1,1,1,NA,3,4,2,2,1,1,1,5,1,1,1,1,1,3,3,1,1,1,1,7,4,6,2,3
4416,NYC,female,69,2,2,NA,2,4,2,1,2,2,4,3,3,NA,2,2,2,NA,2,1,3,2,3,1,4,3,3,9,3,2
4418,NYC,female,21,4,1,3,1,1,4,2,2,2,5,4,3,3,2,2,2,2,2,4,2,4,2,2,1,4,NA,10,1,2
4420,NYC,male,39,3,1,1,1,1,2,3,2,2,2,2,1,2,2,2,1,1,2,2,3,2,1,2,3,7,4,6,2,3
4423,NYC,male,45,3,2,2,1,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,3,3,4,3,5,2,1
4428,NYC,female,21,3,1,4,1,5,5,3,5,5,3,4,2,2,2,2,3,2,4,5,4,2,2,3,4,6,2,8,1,8
4438,NYC,female,35,2,1,5,1,1,1,2,1,1,5,5,1,1,1,3,2,1,1,2,3,1,2,2,2,NA,2,3,2,7
4453,NYC,male,55,3,1,2,1,4,4,2,3,3,4,2,1,2,2,3,1,3,4,4,4,1,1,2,1,5,4,3,2,NA
4454,NYC,female,29,2,1,2,1,3,3,2,4,3,2,2,4,1,1,2,2,1,2,2,3,3,2,4,3,6,5,8,2,3
4456,NYC,female,28,4,3,3,2,3,3,3,2,3,3,4,3,3,3,2,3,3,3,4,3,3,3,3,2,6,2,8,2,1
4469,NYC,male,38,3,2,2,3,3,4,4,4,2,2,3,3,2,3,5,2,3,3,2,2,3,3,2,2,6,3,6,2,NA
4472,NYC,male,65,3,5,5,5,2,2,4,5,2,3,2,4,5,5,5,5,5,3,4,4,5,1,1,1,7,4,3,2,1
4478,NYC,male,57,1,1,1,1,NA,NA,4,2,2,4,1,2,1,1,2,1,3,4,3,2,2,1,1,2,4,NA,5,2,1
4486,NYC,female,52,5,1,5,1,5,5,5,5,5,5,5,NA,1,1,3,2,1,5,5,1,1,1,1,2,7,3,6,NA,NA
4491,NYC,male,70,2,1,2,4,2,2,2,1,1,1,4,2,2,1,4,1,NA,1,1,4,1,2,1,2,7,2,9,2,1
4493,NYC,male,38,2,1,1,1,4,4,2,2,4,2,2,2,2,2,1,1,1,2,2,3,1,1,1,2,7,3,6,2,8
4501,NYC,male,50,2,1,1,1,4,2,1,1,2,2,3,1,4,1,1,2,1,1,1,1,1,1,1,1,7,5,6,2,7
4526,NYC,male,55,2,1,1,2,4,3,2,3,3,3,3,3,4,2,2,2,2,3,3,2,2,3,1,2,4,1,10,2,8
4535,NYC,male,23,1,1,1,1,3,3,3,2,3,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,4,5,7,2,3
4546,NYC,female,35,1,1,1,1,3,NA,NA,1,1,1,1,1,4,1,1,1,1,3,3,1,1,1,3,1,7,4,6,5,1
4557,NYC,male,29,2,1,1,1,3,2,2,2,3,2,3,2,2,1,2,1,1,3,3,4,2,1,2,2,7,3,6,1,8
4558,NYC,male,20,3,2,3,2,3,3,3,5,3,1,3,3,5,5,5,3,5,1,3,1,1,1,2,1,4,3,6,1,1
4563,NYC,female,41,1,3,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,3,3,2,1,1,1,1,4,3,3,1,1
4572,NYC,female,60,3,1,2,1,4,NA,2,3,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,7,4,4,2,8
4580,NYC,female,40,2,1,2,1,1,2,2,4,2,2,2,2,1,2,2,1,1,4,NA,2,1,1,1,1,7,3,6,2,3
4586,NYC,male,58,1,1,1,1,4,2,1,1,3,2,1,1,4,4,1,1,1,4,4,5,1,1,1,1,7,5,6,2,1
4606,NYC,female,25,NA,1,1,1,NA,NA,4,1,NA,2,4,2,2,2,2,2,2,NA,NA,2,2,2,3,1,7,3,11,1,8
4635,NYC,male,74,2,1,3,2,4,3,4,2,2,4,4,4,1,4,4,2,3,2,4,4,2,3,5,2,3,2,5,5,2
4668,NYC,female,22,1,2,1,2,1,2,4,3,2,1,2,4,2,1,2,2,1,3,3,2,2,1,1,1,7,3,6,1,NA
4679,NYC,female,30,2,1,2,2,5,NA,3,NA,2,4,4,2,1,2,2,3,NA,2,2,4,2,3,3,1,7,4,10,2,8
4694,NYC,male,44,3,1,1,1,3,2,3,4,3,3,3,1,2,2,5,1,1,3,3,4,3,1,1,2,7,3,6,1,3
4720,NYC,male,31,5,1,1,5,4,5,4,3,3,4,2,2,3,1,2,1,1,3,3,2,1,2,1,1,7,3,10,1,3
4727,NYC,female,48,3,1,1,1,4,2,4,1,2,3,2,1,3,1,3,1,1,1,2,2,1,2,2,2,7,3,11,2,8
4728,NYC,female,99,3,2,2,1,4,2,2,2,3,4,2,4,1,1,2,2,NA,4,4,NA,1,2,3,2,4,3,10,1,3
4730,NYC,female,42,1,1,1,1,4,4,2,4,5,2,3,2,3,1,2,1,2,4,3,3,2,1,1,1,7,4,7,5,1
4744,NYC,female,35,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,4,3,1,1,1,1,7,4,6,2,5
4759,NYC,female,30,2,1,1,1,NA,2,2,2,1,3,2,2,3,1,1,1,1,2,2,1,2,1,1,1,7,5,3,2,1
4761,NYC,male,36,1,1,1,1,4,2,1,2,1,2,2,1,2,1,2,2,1,1,2,2,1,1,1,1,7,3,6,2,1
4770,NYC,male,38,5,1,4,2,5,4,3,2,5,4,3,4,1,2,2,2,3,5,5,2,4,1,3,3,7,2,4,2,7
